time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
1980-12-31,6332.9,8692.3,4280.4,6501.5,6089.3,41737.4,2918.9,771.7,20811.6,9155.8,60784.1,34010.4,4184.8,1631.4,3746.0,2879.5,24525.2,912.7,540.4,624.2,436.3,1190.8,9701.8,18040.6,13413.4,4335.1,4826.2,5217.2,16038.5,1235.9,2888.4
1981-12-31,6249.7,8254.2,4493.9,6306.9,5918.3,41544.8,2772.1,710.8,23343.5,9310.2,55609.9,31229.0,4373.9,1647.8,3779.8,2628.9,24540.1,879.5,525.6,582.5,426.4,1188.3,9546.9,15805.9,13096.0,5003.7,4783.2,5174.0,14821.5,1258.1,2853.2
1982-12-31,6109.6,8184.9,4097.9,6096.5,5940.6,41326.2,2983.4,790.6,22341.4,10956.2,52006.1,33104.4,3768.7,1415.0,3678.6,2836.6,23564.5,898.5,525.9,604.9,364.2,1080.0,9613.1,17231.5,13028.3,4654.6,4582.7,4331.4,17373.9,1213.1,2825.8
1983-12-31,7330.7,9864.4,5203.1,7434.2,6629.3,48382.3,3075.8,826.7,27248.7,9032.0,68671.2,33899.8,5275.0,1778.8,4143.3,2889.4,28742.6,1000.1,617.1,689.0,442.9,1265.5,11140.4,14019.7,14621.9,5853.1,5431.6,5467.1,15116.0,1350.1,3092.2
1984-12-31,6795.4,8801.2,4445.9,6959.7,5927.5,45853.9,2958.6,754.8,26523.8,10363.5,63292.2,33242.9,4601.3,1731.9,3873.0,2822.2,28533.4,950.4,633.7,635.6,395.1,1102.2,10564.2,15781.9,14140.6,5636.2,5253.5,4998.6,15561.7,1257.4,2925.3
1985-12-31,6644.0,8366.8,4937.6,6562.6,6523.4,42238.5,2892.7,771.1,22632.2,9219.8,59100.5,31295.0,4449.9,1750.0,3882.1,2786.3,24619.6,926.5,532.4,627.5,429.3,1260.6,9561.1,14796.7,13871.4,4833.1,5213.7,5591.1,15191.7,1276.4,3009.4
1986-12-31,6550.3,9077.9,3967.3,6512.7,6594.1,44534.9,2998.4,786.2,21656.6,9205.6,62757.6,31881.5,3649.2,1650.3,3873.7,2786.0,24163.3,969.1,576.5,634.4,378.4,1005.1,10201.1,17510.7,14321.0,4343.5,4813.7,4902.0,17431.3,1259.5,2999.1
1987-12-31,5958.5,7868.0,4158.9,5900.3,5636.4,40573.6,3027.7,905.6,22088.6,10835.8,44826.6,30631.7,4033.9,1483.3,3621.0,2588.1,23948.5,996.2,507.6,710.7,386.5,1119.9,9472.6,18018.0,13427.8,4540.7,4580.6,4635.5,19205.8,1206.9,2740.6
1988-12-31,6159.5,8005.8,4291.4,6065.8,5759.9,40415.6,2676.7,787.8,22910.5,10079.5,50280.1,29607.8,4040.7,1576.2,3766.5,2487.7,24052.0,899.7,521.1,631.6,394.4,1093.6,9308.0,16913.8,12907.5,4726.5,4735.3,4824.3,14931.3,1233.3,2811.3
1989-12-31,7125.6,8812.0,4625.4,7316.7,6108.9,46196.3,2961.4,926.4,27316.1,11767.6,68260.2,33263.3,4888.2,1819.1,3948.1,2798.4,29001.9,1019.1,619.4,729.9,421.9,1188.1,10701.8,16942.7,14766.0,5644.0,5327.9,5254.3,17285.6,1289.8,2983.7
1990-12-31,6061.5,8227.6,4707.2,6365.3,6066.9,39631.8,2762.2,735.0,20559.1,8823.9,57176.4,29586.7,4302.6,1582.8,3515.9,2530.3,22520.3,894.1,507.1,621.9,398.6,1166.2,9449.6,16036.1,12364.8,4294.2,4698.2,5216.8,15144.4,1158.7,2801.1
1991-12-31,5991.7,8131.9,4321.6,6056.3,5798.2,40266.8,2717.0,755.1,21966.1,9708.9,52038.7,30312.3,4096.0,1481.9,3645.6,2508.9,23234.5,883.1,520.0,590.7,387.0,1133.1,9416.6,15997.2,12977.2,4840.4,4673.8,4621.7,15690.6,1171.3,2789.8
1992-12-31,6436.1,8381.1,4948.8,6608.2,6263.2,41542.7,2595.9,720.9,23594.4,8407.7,61757.1,29019.3,4871.4,1668.2,3882.4,2443.9,24845.2,910.9,551.2,609.8,452.4,1284.1,9366.2,13998.5,13392.0,5094.4,5150.6,5523.7,13237.9,1245.7,3013.2
1993-12-31,6855.9,9388.6,5154.0,6845.4,6919.6,44803.1,3042.7,810.0,24319.1,8631.2,67544.2,32347.3,4595.2,1794.9,4031.3,2601.6,25225.0,1018.8,562.4,692.4,471.3,1311.4,10503.7,14869.3,14639.8,5181.4,5372.6,5915.0,14439.1,1320.9,3168.0
1994-12-31,6982.5,9335.1,4843.8,7034.0,6300.7,47244.6,3227.1,799.8,24285.5,9851.5,60022.3,36287.9,4476.2,1673.0,4050.4,3036.6,27735.2,981.8,592.0,662.3,404.8,1190.0,10992.9,17983.0,14242.8,5084.4,5244.4,5114.9,16925.9,1295.7,3010.8
1995-12-31,7066.2,9378.4,4111.4,7146.8,6164.2,47409.3,3208.0,763.8,25444.0,9856.1,64702.8,36903.0,3830.2,1716.8,3928.6,3094.4,27581.3,974.5,638.2,653.2,358.6,979.4,11214.8,18682.7,14629.8,5340.1,5282.5,4932.1,17055.9,1269.2,2977.9
1996-12-31,5860.9,7934.0,4379.9,5828.0,6200.1,40213.9,2883.3,851.0,19196.8,9113.6,48466.8,29998.1,3708.0,1543.8,3480.1,2449.5,21504.9,1006.5,495.5,733.2,361.7,1049.9,9558.5,17352.1,13215.5,4020.8,4457.6,4850.1,15485.5,1147.5,2778.6
1997-12-31,6683.6,10151.1,4595.8,6778.6,7115.9,46976.6,3156.4,809.8,23358.0,9430.3,74579.4,33890.6,3941.3,1731.3,4020.9,2946.4,24084.7,1025.7,602.6,675.4,391.0,1124.7,10949.1,15840.5,15275.9,5038.0,5129.4,5354.7,15679.6,1291.4,3092.2
1998-12-31,6217.8,8124.3,4358.5,6105.2,5979.0,40360.8,2706.0,783.6,22765.6,9614.2,51804.7,30689.8,4212.0,1463.7,3675.0,2618.6,23809.3,901.3,516.7,617.1,393.3,1147.0,9412.4,14947.8,13031.7,4778.6,4704.2,4612.6,14113.3,1192.2,2832.5
1999-12-31,6367.6,8102.3,4687.2,6134.5,6357.9,42714.3,2942.4,766.9,23468.2,8768.5,51963.1,30345.2,4471.8,1663.9,3995.0,2655.4,24027.8,940.9,537.5,637.0,437.9,1294.9,9481.9,14942.6,13592.7,4993.8,5092.8,5509.3,15360.1,1261.9,3026.6
2000-12-31,7322.1,8967.3,5002.6,7209.5,6751.0,47523.8,3119.3,881.4,26278.4,10467.0,57513.9,34024.4,4751.9,1814.4,4311.9,2956.0,28944.2,1039.9,586.8,717.5,442.6,1282.7,10763.2,15381.3,14943.1,5657.4,5468.8,5573.4,17418.1,1386.2,3270.7
2001-12-31,6197.2,7767.9,4215.0,6167.1,6380.3,39187.5,2766.4,690.8,20090.0,9122.2,49597.9,28705.7,3931.8,1595.2,3553.3,2445.9,22348.7,854.7,493.0,577.4,402.9,1100.9,9107.2,15768.4,12493.1,4120.4,4486.1,4974.0,16937.0,1170.1,2844.7
2002-12-31,6581.2,8989.3,4915.0,6992.9,6443.7,42392.1,2759.8,891.6,21287.4,11385.4,65959.7,33092.4,4424.7,1744.1,3859.1,2833.2,24745.5,968.1,551.8,695.6,464.2,1318.4,9794.9,16492.7,13764.4,4311.9,5143.4,5664.4,18003.7,1251.6,3028.0
2003-12-31,6207.1,8042.3,4706.4,5864.5,6620.5,42326.7,3125.7,918.2,20652.5,11137.8,46386.4,30329.9,3843.1,1605.3,3866.4,2482.3,23456.0,965.8,532.5,642.4,389.4,1083.0,9622.2,17031.5,14502.6,4199.0,5133.8,5231.7,17449.7,1221.7,3036.9
2004-12-31,6285.1,8862.0,4357.2,6416.5,6271.9,43128.4,3008.6,778.0,22249.5,10960.7,61695.2,30741.3,3986.0,1568.0,3734.1,2612.6,24116.2,916.5,546.5,623.0,389.6,1061.1,9947.3,17710.2,13577.1,4453.3,4711.5,4794.6,16930.4,1223.8,2854.3
2005-12-31,6896.4,8737.1,4598.2,6941.4,6189.3,46267.9,3120.4,822.1,25417.7,9331.3,53223.2,33732.0,4478.2,1724.8,4078.5,2879.0,28148.0,981.9,574.2,677.8,418.3,1146.4,10611.4,14384.5,14189.7,5508.9,5206.7,5075.2,15671.7,1317.4,3003.0
2006-12-31,7097.5,9096.7,4487.4,7013.3,6251.3,46861.8,3232.2,801.4,25589.7,9485.9,60403.7,34244.9,4537.2,1709.5,3904.1,2867.8,28616.9,994.7,627.9,677.4,374.6,1054.6,11026.6,17269.7,14758.5,5280.0,5347.4,4764.0,16370.5,1277.0,2986.6
2007-12-31,5524.3,7392.4,4010.0,5488.0,5350.9,36319.1,2474.0,648.2,20169.6,8451.4,44470.2,29117.2,4199.1,1361.8,3386.6,2586.5,21381.3,807.1,475.5,536.9,387.5,1072.9,8704.3,14083.7,11420.0,4175.9,4279.1,4606.2,13575.4,1078.4,2706.1
2008-12-31,6362.4,8302.9,4600.8,6542.6,6123.4,41766.0,2817.2,731.9,23443.3,9483.3,60219.2,29406.0,4286.7,1681.9,3859.2,2451.0,24262.9,912.8,529.5,613.1,456.3,1229.5,9734.3,14402.1,13295.2,4947.0,4983.3,5607.4,14971.9,1229.7,2925.1
2009-12-31,6481.5,9059.4,4844.3,6396.0,6559.6,43340.8,2950.6,776.4,21519.1,9730.1,59244.7,33245.6,4731.4,1687.8,3958.2,2802.4,24332.8,931.2,547.0,625.7,429.8,1294.1,9982.0,16679.6,13989.0,4404.0,5148.5,5633.4,16362.3,1266.2,3053.3
2010-12-31,6154.1,9005.4,3680.0,6240.3,6004.8,43049.0,3231.5,912.6,22814.3,10508.5,58475.8,34326.0,3384.0,1450.9,3675.3,3098.5,23794.8,960.6,546.7,673.7,353.3,962.3,10203.6,16486.8,13689.7,4743.0,4551.1,4128.6,17387.5,1212.0,2801.8
2011-12-31,7259.6,9435.8,4979.4,7273.2,6652.2,48122.4,3220.3,875.2,24555.1,10396.9,65141.9,35330.9,4583.3,1841.2,4278.6,2962.2,28055.4,1010.4,599.7,694.2,430.9,1211.2,11014.2,17152.3,14658.1,5039.0,5566.3,5833.2,16915.5,1345.7,3180.3
2012-12-31,6810.3,8102.1,4802.6,6529.5,6017.3,44309.8,2952.0,830.7,25077.4,9959.3,48051.7,32909.4,5082.0,1789.1,3969.8,2912.2,28610.8,1014.6,593.3,690.0,442.9,1215.4,10275.2,14910.1,14742.8,5308.7,5442.7,5374.6,15990.7,1281.4,3051.7
2013-12-31,6169.4,7952.1,4599.2,6155.9,5946.7,39752.6,2657.9,679.8,21992.4,8338.4,50661.6,30513.7,4081.9,1622.6,3810.4,2656.2,23889.5,867.0,516.0,570.3,409.6,1127.9,9227.3,13257.2,12807.5,4614.2,5014.8,5247.5,13501.4,1202.9,2878.5
2014-12-31,6193.3,7908.2,4357.3,6306.8,5943.2,41044.2,2714.6,718.7,21461.2,8439.2,48894.2,29948.8,4092.7,1498.2,3696.7,2650.7,24095.4,896.3,528.1,603.6,373.9,1059.6,9277.8,13713.8,13084.7,4406.7,4804.1,4707.5,13771.6,1192.7,2803.8
2015-12-31,6313.6,8630.7,5520.7,6534.6,6056.7,41770.5,2624.7,679.1,23430.3,8240.7,63387.7,28514.0,4802.3,1811.9,3927.6,2420.1,24914.7,870.1,542.2,572.1,480.4,1423.9,9641.3,12568.0,13210.6,4958.5,5414.3,6358.4,12735.2,1304.3,2961.9
2016-12-31,6270.2,8237.4,5265.4,6018.4,6308.9,41723.1,2820.4,864.6,21283.7,9260.7,51381.4,31941.6,5046.3,1701.5,3985.6,2721.2,24434.3,1009.6,527.4,699.0,438.4,1331.1,9573.8,12528.1,14308.7,4458.7,5370.7,5743.1,14056.9,1278.4,3078.3
2017-12-31,7339.3,9813.6,5113.8,7324.7,6691.7,48278.2,3010.1,737.1,27552.5,9750.3,71059.2,34794.7,5210.3,1887.9,4128.8,3023.4,29235.1,958.1,656.1,625.2,428.0,1232.8,11326.9,15432.2,14854.9,5762.0,5643.2,5815.2,15523.3,1312.9,3197.1
2018-12-31,5615.0,7577.8,3983.3,5688.0,5498.6,36687.9,2555.3,664.2,20564.5,8560.4,47598.6,29460.4,3971.3,1391.7,3364.5,2558.6,21545.2,812.1,481.2,546.5,386.8,1045.7,8839.1,14809.3,11412.4,4396.4,4269.4,4611.9,13656.6,1091.4,2671.3
2019-12-31,5912.9,7910.5,4462.0,6036.8,5665.3,39583.2,2602.5,690.6,22317.4,8688.2,52424.0,29775.1,4270.5,1584.2,3708.7,2509.6,23721.0,866.8,514.7,577.2,398.6,1136.3,9180.1,15081.3,12707.5,4761.6,4770.0,4940.0,13792.8,1187.1,2810.9
2020-12-31,6209.7,8541.0,4404.5,6321.3,6017.9,41926.0,2675.1,689.1,22816.1,8845.6,56157.6,30402.0,4273.5,1605.5,3770.8,2605.1,24045.8,872.1,550.3,578.8,411.8,1150.2,9825.8,14589.8,13036.1,4923.5,4824.3,5105.1,13006.9,1222.7,2833.8
